u,v,length
42428709,1061531847,19.236
42428709,42428705,79.792
42428711,42428709,79.418
42428711,1061531593,23.079
42428714,42431099,126.31099999999999
42428714,42428711,86.964
42428714,1061531807,22.573
42428716,42431102,126.24199999999999
42428716,42428714,85.179
42428720,1061531727,18.828
42428720,42428716,79.468
42428723,42431106,127.39800000000001
42428723,42428720,80.13700000000001
42428725,1061531596,19.064
42428725,42428723,79.89599999999999
42428728,42431108,127.659
42428728,42428725,79.775
42428737,1061531802,19.745
42428737,42428728,79.164
42428742,42428737,80.453
42428742,42431113,126.73599999999999
42428746,1061531496,19.567
42428746,42428742,79.96199999999999
42428760,42431121,20.076
42428760,42421745,95.231
42428770,595314103,79.783
42428770,42441913,135.391
42428782,3579432156,18.944
42428782,42441926,116.77400000000002
42428782,42428770,77.049
42428790,7785782284,135.845
42428790,42428782,82.82300000000001
42428799,561035333,17.968
42428799,42428790,79.494
42428807,42431193,167.316
42428807,42428799,79.66100000000002
42428814,561035335,17.707
42428814,42428807,80.30300000000001
42428833,5004570631,191.274
42428833,42428814,80.381
42428844,1506591536,85.31
42428858,5763775589,22.416
42428858,42443181,84.7
42428858,42421857,169.406
42428863,561035343,26.71
42428863,42438066,162.292
42428863,42428858,81.477
42428873,2541754747,19.839
42428873,42438228,267.409
42428873,7732654932,78.55
42428876,561035346,19.957
42428876,42429541,268.05400000000003
42428876,42428873,79.766
42428892,561035349,20.81
42428892,7732653970,165.74299999999997
42428892,7620631148,223.999
42428912,42441949,180.118
42428912,561035351,78.307
42428913,2383895311,492.434
42428913,42428912,80.52000000000001
42428914,42441950,193.689
42428914,42428913,79.15
42428917,561035356,18.629
42428917,42428914,79.021
42428919,42441951,185.27200000000002
42428919,42428917,79.231
42428922,561035358,18.918
42428922,42428919,80.138
42428926,42441952,145.166
42428926,42428922,78.565
42428928,561035360,18.071
42428928,42428926,78.365
42428931,561035361,19.594
42428931,42434264,135.977
42428931,42428928,86.745
42428934,561035362,19.91
42428934,42428931,84.54299999999999
42428936,42441956,119.427
42428936,42428934,79.53
42428939,561035364,18.747
42428939,42428936,79.22300000000001
42428941,42434343,133.007
42428941,42428939,79.84200000000001
42428944,561035366,17.824
42428944,42428941,78.627
42428947,42441774,160.98600000000002
42428947,42428944,78.27900000000001
42428951,561035368,20.144
42428951,42428947,80.152
42428953,42428951,79.79299999999999
42428953,42441805,272.55400000000003
42428956,561035370,18.418
42428956,42428953,163.925
42428958,561035371,18.234
42428958,42428956,85.773
42428961,42452130,39.542
42428961,595352904,53.55
42428962,561035373,18.121
42428962,42428961,79.441
42428962,2504882466,86.071
42428964,561035375,18.311
42428964,42427086,79.182
42428965,42427115,106.25500000000001
42428965,42428964,78.851
42428966,561035377,20.383
42428966,42428965,80.438
42428967,42427126,142.603
42428967,42428966,78.375
42428970,561035379,18.307
42428970,42428967,79.32800000000002
42428973,42427133,184.13099999999997
42428973,561035380,18.306
42428973,42428970,95.72000000000001
42428975,561035381,18.307
42428975,42428973,87.28800000000001
42428978,561035382,17.439
42428978,8344404001,69.699
42428978,42427136,233.73
